"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"shorter" 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0
"shouldered" 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0
"shouts" 0 0 0 0.01 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"shrinking" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02
"sideways" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0
"sizes" 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0
"skilled" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"skills" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"skins" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.03 0 0 0 0
"slanted" 0.01 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0
"slay" 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0
"sliding" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0
"sloping" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0.01 0 0
"snarling" 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"snatched" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"soap" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"soaring" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0
"sold" 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0
"sorrow" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"sparkling" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sparring" 0 0 0.02 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sphinx" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0
"spirit" 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"spots" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0
"sprawling" 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01
"spray" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0
"sprinted" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0
"sprout" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
"stacked" 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0
"stadium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0
"startling" 0 0 0 0 0 0 0.01 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0
"statues" 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"staying" 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0
"stew" 0 0 0.01 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0
"stiffened" 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sting" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0 0
"stirring" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0.01
"stole" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.01
"store" 0.01 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"stores" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0
"stout" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.01 0 0 0
"strands" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0
"streamed" 0 0 0 0 0 0 0 0 0 0 0.03 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"stretch" 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"stroked" 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0
"strongest" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0
"strongly" 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"stuffy" 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0.01 0
"suggestion" 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"summons" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0.01
"supported" 0 0 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"supporting" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01
"surroundings" 0 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sweat" 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"sweeping" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01
"swell" 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01
"swirl" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"sword-hilt" 0.02 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"tables" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0
"tallest" 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0
"talons" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0
"teaching" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0
"temple" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"theirs" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0
"ther" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"thinner" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0
"thirst" 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01
"thread" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"thrill" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0
"throbbing" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0
"thud" 0 0 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0
"tle" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0.02 0 0 0 0 0 0 0 0
"to-morrow" 0 0 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"toast" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0.01 0 0 0 0
"topmost" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0
"tortured" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0
"town" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0 0 0 0 0 0.01 0
"tracking" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0
"tramp" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.02
"tree-trunks" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0
"trickled" 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0
"triumph" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0
"trudged" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0.02 0 0
"trusted" 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01
"trustworthy" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"twigs" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0
"twitched" 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0
"uglified" 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"unblinking" 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0
"unconscious" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"undergrowth" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.02 0 0 0 0
"understanding" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"undertone" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0
"valentine" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"value" 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"vengeance" 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0
"ventured" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0.01
"wailing" 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01
"wander" 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"warden" 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"watchmen" 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0
"water-lilies" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0
"weariness" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0.01 0.01
"whereabouts" 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.02 0 0 0 0 0 0 0 0 0
"whimpered" 0.02 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"whirring" 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0
"whistling" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0
"white-hot" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0
"willows" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0 0
"withered" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0
"wits" 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0 0 0
"worlds" 0.02 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"worm" 0 0 0.04 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"wraiths" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04
"wretched" 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01
"yellowish" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"yield" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0
"zardeenah" 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ze" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0
"abandoning" 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"abilities" 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"absolute" 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0
"absolutely" 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"abyss" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0
"accomplished" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"ache" 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0
"ached" 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"aching" 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"acknowledged" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"acquired" 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"acting" 0.01 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"actual" 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"address" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0
"affect" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"afford" 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"aim" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"alarming" 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"allowing" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"amusing" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01
"ancestors" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"angle" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0 0
"anne" 0 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"annoyed" 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0
"ap" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"apologize" 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"apparition" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"appoint" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
"approach" 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01
"appropriate" 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"archenland" 0.02 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"argument" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0
"aroused" 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0
"arrogant" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"arry" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0
"arthur" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0.01 0 0 0 0 0 0 0 0 0
"assassins" 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"assault" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01
"assembly" 0.01 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"atmosphere" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0
"atra" 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"attackers" 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"attracted" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0
"avail" 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01
"avoided" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"avoiding" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0
"awkwardly" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"azim" 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"backing" 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"baggage" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0 0 0
"baida" 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"band" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0
"banished" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0
"barriers" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"bars" 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0
"bartender" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0
"bathroom" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0
